,address,location
201,서울특별시 강남구 강남대로 128길 48(논현동),논현12호점
202,서울특별시 강남구 학동로43길 14 (논현동),논현13호점
203,서울특별시 강남구 논현로149길 35 (논현동),논현14호점
204,서울특별시 강남구 언주로 712 (논현동),논현2호점
205,서울특별시 강남구 논현로 720(논현동),논현4호점
206,서울특별시 강남구 도산대로46길 11 (논현동),논현6호점
207,"서울특별시 강남구 학동로37길 23, 1층 103호(논현동)",논현건설회관점
208,서울특별시 강남구 봉은사로43길 21(논현동),논현경복점
209,서울특별시 강남구 도산대로 30길 8 (논현동),논현본점
210,서울특별시 강남구 강남대로124길 46(논현동),논현스타우스점
211,서울특별시 강남구 봉은사로1길 42(논현동),논현스타점
212,서울특별시 강남구 선릉로 641 (논현동),논현제일점
213,서울특별시 강남구 선릉로129길 20 (논현동),논현중앙점
214,서울특별시 강남구 언주로147길 37 (논현동),논현타운점
215,서울특별시 강남구 강남대로136길 7(논현동),논현학나래점
216,서울특별시 강남구 언주로147길 5(논현동) ,논현학동공원점
217,서울특별시 강남구 학동로12길 47(논현동),논현한어울림점
218,서울특별시 강남구 봉은사로 29길 4(논현동),논현한영점
219,서울특별시 강남구 강남대로128길 69 1층 코너(논현동),논현흥산점
220,서울특별시 강남구 역삼로64길 25 (대치동),대치10호점
221,서울 강남구 테헤란로 104길 12 (대치동)양유빌딩 1층,대치11호점
222,서울 강남구 역삼로 63길 16(대치동),대치16호점
223,서울특별시 강남구 삼성로 151 (대치동),대치3호점
224,서울특별시 강남구 남부순환로 2921 (대치동),대치4호점
225,서울 강남구 삼성로 85길 19(대치동),대치6호점
226,서울 강남구 삼성로 86길 16(대치동),대치7호점
227,서울 강남구 삼성로 63길 21(대치동),대치공원점
228,서울특별시 강남구 테헤란로64길 14 101호(대치동),대치나인점
229,서울특별시 강남구 역삼로 546(대치동),대치덕일점
230,서울 강남구 테헤란로 114길 38 (대치동)동일빌딩,대치동일점
231,서울 강남구 삼성로 71길 13(대치동),대치마루점
232,서울 강남구 삼성로 331(대치동),대치본점
233,서울 강남구 역삼로 69길 13,대치삼성로점
234,서울특별시 강남구 테헤란로114길 20 1층 101호(대치동),대치삼화점
235,서울특별시 강남구 테헤란로68길 33 1층(대치동),대치선릉로점
236,서울특별시 강남구 삼성로82길 4 1층(대치동),대치승리점
237,서울특별시 강남구 선릉로 224 상가동 104호(대치동),대치아이파크점
238,"서울특별시 강남구 삼성로 155 제1층 제117호(대치동, 대치퍼스트)",대치역점
239,"서울특별시 강남구 도곡로93길 9 1층(대치동, 대상빌딩)",대치우성점
240,서울 강남구 대치동 960-15번지,대치으뜸점
241,서울특별시 강남구 삼성로 238 (대치동),대치은마사거리점
242,서울특별시 강남구 대치동 511번지,대치점
243,서울특별시 강남구 영동대로86길 10 지상 1층(대치동),대치코스모점
244,서울특별시 강남구 도곡로69길 14 (대치동),대치한티점
245,서울 강남구 남부순환로365길 38 (도곡동),도곡2호
246,서울 강남구 강남대로44길 21 (도곡동),도곡3호점
247,서울특별시 강남구 남부순환로 2803 도곡동 삼성래미안상가 120호,도곡래미안점
248,"서울특별시 강남구 선릉로 225 1층 141,142호(도곡동, 도곡렉슬 상가)",도곡렉슬점
249,서울특별시 강남구 논현로34길 34 1층,도곡본점
